node_id,primary_group,secondary_group,is_influencer,followers,engagement_rate,group_mix
0,2,5,False,81,0.076,2-5
1,9,7,True,6535,0.03,9-7
2,9,9,False,376,0.068,9
3,9,9,False,152,0.083,9
4,1,1,False,226,0.041,1
5,3,6,False,204,0.019,3-6
6,6,6,False,383,0.051,6
7,2,2,False,292,0.036,2
8,10,10,False,108,0.073,10
9,1,1,False,50,0.087,1
10,2,8,False,196,0.025,2-8
11,6,5,False,359,0.068,6-5
12,10,10,False,135,0.025,10
13,7,9,False,176,0.086,7-9
14,1,1,False,215,0.034,1
15,4,4,False,377,0.038,4
16,8,8,False,81,0.032,8
17,9,9,False,229,0.091,9
18,7,3,False,56,0.078,7-3
19,2,3,False,226,0.064,2-3
20,7,8,False,293,0.087,7-8
21,1,1,False,463,0.058,1
22,5,5,False,160,0.049,5
23,8,5,False,400,0.026,8-5
24,2,2,False,337,0.056,2
25,4,3,False,408,0.093,4-3
26,1,1,False,67,0.094,1
27,5,4,False,494,0.017,5-4
28,8,8,False,282,0.079,8
29,3,3,False,94,0.034,3
30,10,10,False,286,0.078,10
31,4,4,False,353,0.068,4
32,8,8,False,136,0.03,8
33,6,9,False,122,0.011,6-9
34,1,1,False,46,0.056,1
35,5,5,False,77,0.075,5
36,10,10,False,252,0.083,10
37,4,7,False,220,0.052,4-7
38,1,1,False,60,0.015,1
39,6,6,False,108,0.027,6
40,8,3,False,137,0.089,8-3
41,2,2,False,291,0.019,2
42,9,9,False,484,0.078,9
43,4,8,False,452,0.046,4-8
44,1,1,False,145,0.093,1
45,8,9,False,259,0.024,8-9
46,5,1,False,287,0.015,5-1
47,6,10,False,480,0.087,6-10
48,3,9,False,105,0.016,3-9
49,2,2,False,71,0.095,2
50,10,10,True,6343,0.048,10
51,10,10,False,143,0.028,10
52,6,7,False,340,0.037,6-7
53,6,6,False,14,0.051,6
54,10,10,False,119,0.056,10
55,3,3,False,460,0.032,3
56,5,9,False,323,0.099,5-9
57,9,9,False,349,0.019,9
58,3,2,False,89,0.035,3-2
59,10,6,False,334,0.087,10-6
60,9,9,False,443,0.015,9
61,7,7,True,10464,0.079,7
62,5,8,False,228,0.06,5-8
63,2,3,False,437,0.043,2-3
64,9,3,True,10974,0.091,9-3
65,1,1,False,137,0.07,1
66,6,6,False,218,0.098,6
67,3,3,False,93,0.098,3
68,3,3,True,17067,0.093,3
69,7,7,False,425,0.032,7
70,3,3,False,456,0.013,3
71,8,8,False,430,0.082,8
72,4,4,False,152,0.088,4
73,5,9,False,441,0.058,5-9
74,1,5,False,145,0.013,1-5
75,10,10,False,170,0.049,10
76,9,10,False,32,0.074,9-10
77,1,1,False,361,0.075,1
78,4,2,False,481,0.04,4-2
79,6,6,False,470,0.037,6
80,5,5,False,366,0.037,5
81,3,7,False,472,0.026,3-7
82,10,9,False,165,0.036,10-9
83,7,7,False,174,0.052,7
84,8,8,False,416,0.091,8
85,3,3,False,349,0.067,3
86,6,4,False,125,0.083,6-4
87,3,4,False,322,0.086,3-4
88,2,2,False,304,0.027,2
89,7,7,False,345,0.072,7
90,2,2,False,421,0.096,2
91,9,9,False,479,0.086,9
92,8,8,False,296,0.064,8
93,8,8,False,268,0.048,8
94,9,9,False,451,0.053,9
95,5,5,False,151,0.079,5
96,9,9,False,235,0.017,9
97,5,6,False,286,0.017,5-6
98,3,3,False,42,0.047,3
99,6,6,False,115,0.085,6
100,7,7,False,366,0.012,7
101,10,1,False,162,0.078,10-1
102,7,7,False,419,0.064,7
103,4,4,False,258,0.013,4
104,6,6,False,380,0.025,6
105,8,8,False,283,0.012,8
106,7,7,False,52,0.068,7
107,3,3,False,143,0.044,3
108,4,4,False,460,0.044,4
109,7,2,False,393,0.059,7-2
110,6,2,False,343,0.014,6-2
111,1,1,False,20,0.066,1
112,4,2,False,121,0.052,4-2
113,5,5,False,320,0.097,5
114,2,2,False,169,0.02,2
115,1,1,False,474,0.096,1
116,7,7,False,313,0.072,7
117,4,5,False,317,0.082,4-5
118,10,10,False,229,0.07,10
119,2,2,False,444,0.048,2
120,8,6,False,434,0.051,8-6
121,3,3,False,343,0.034,3
122,9,9,False,432,0.076,9
123,5,4,False,54,0.035,5-4
124,8,8,False,352,0.044,8
125,1,1,False,259,0.029,1
126,5,10,False,151,0.06,5-10
127,9,9,False,378,0.047,9
128,9,9,False,340,0.074,9
129,8,8,False,123,0.046,8
130,4,10,False,293,0.058,4-10
131,7,7,False,190,0.073,7
132,5,4,False,108,0.038,5-4
133,9,9,False,108,0.029,9
134,8,10,False,278,0.064,8-10
135,2,2,False,194,0.026,2
136,1,1,False,33,0.098,1
137,9,3,False,395,0.054,9-3
138,1,1,False,235,0.041,1
139,1,8,False,43,0.046,1-8
140,2,2,False,87,0.023,2
141,10,10,False,137,0.021,10
142,7,7,False,125,0.08,7
143,7,7,False,450,0.063,7
144,7,10,False,388,0.019,7-10
145,4,4,False,51,0.024,4
146,3,3,False,219,0.051,3
147,10,10,True,9720,0.074,10
148,8,4,False,413,0.081,8-4
149,10,10,False,227,0.02,10
150,4,4,False,433,0.023,4
151,1,5,False,432,0.061,1-5
152,5,5,False,165,0.073,5
153,5,5,False,51,0.064,5
154,7,7,False,23,0.018,7
155,10,10,True,17529,0.071,10
156,5,5,False,99,0.052,5
157,8,8,False,309,0.049,8
158,8,8,False,219,0.04,8
159,2,2,False,365,0.055,2
160,7,7,False,242,0.018,7
